value,type
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
36,Kept
36,Kept
26,Kept
55,Kept
55,Kept
55,Kept
55,Kept
55,Kept
55,Kept
55,Kept
48,Kept
55,Kept
37,Kept
37,Kept
60,Kept
60,Kept
56,Kept
28,Kept
34,Kept
34,Kept
34,Kept
33,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
53,Kept
24,Kept
34,Kept
28,Kept
35,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
36,Kept
34,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
35,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
35,Kept
35,Kept
35,Kept
35,Kept
34,Kept
34,Kept
35,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
35,Kept
34,Kept
35,Kept
34,Kept
35,Kept
35,Kept
33,Kept
33,Kept
35,Kept
34,Kept
31,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
35,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
34,Kept
34,Kept
34,Kept
35,Kept
35,Kept
34,Kept
34,Kept
36,Kept
36,Kept
36,Kept
59,Kept
59,Kept
35,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
39,Kept
39,Kept
39,Kept
37,Kept
37,Kept
37,Kept
35,Kept
34,Kept
34,Kept
35,Kept
27,Kept
27,Kept
27,Kept
35,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
56,Kept
35,Kept
35,Kept
35,Kept
34,Kept
34,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
31,Kept
31,Kept
31,Kept
36,Kept
31,Kept
31,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
35,Kept
37,Kept
37,Kept
37,Kept
34,Kept
31,Kept
31,Kept
31,Kept
31,Kept
34,Kept
28,Kept
28,Kept
33,Kept
33,Kept
33,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
31,Kept
35,Kept
35,Kept
37,Kept
37,Kept
34,Kept
34,Kept
35,Kept
35,Kept
35,Kept
32,Kept
34,Kept
34,Kept
47,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
31,Kept
31,Kept
31,Kept
42,Kept
42,Kept
43,Kept
43,Kept
25,Kept
25,Kept
40,Kept
40,Kept
40,Kept
40,Kept
40,Kept
40,Kept
40,Kept
40,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
40,Kept
40,Kept
40,Kept
40,Kept
42,Kept
42,Kept
42,Kept
42,Kept
35,Kept
45,Kept
