value,type
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
